dir,day,frac_year,temp,temp_source,zodib,limit_z,count,count_adj,count_z,count_adj_z
/proj/sot/ska/data/aca_dark_cal/1999223,1999:223,1999.60958904,-10,GUESS,0,268.269579528,3495,1142,3495,1142
/proj/sot/ska/data/aca_dark_cal/2000326,2000:326,2000.88934426,-10.372076416,AACCCDPT,0.953316,260.000445864,34097,13096,34097,12877
/proj/sot/ska/data/aca_dark_cal/2001060,2001:060,2001.1630137,-10.372076416,AACCCDPT,2.220372,263.263688103,37381,14038,36900,13569
/proj/sot/ska/data/aca_dark_cal/2002057,2002:057,2002.15479452,-10.3722290039,AACCCDPT,2.09358,262.932742251,56671,20546,55904,19925
/proj/sot/ska/data/aca_dark_cal/2002137,2002:137,2002.3739726,-10.372076416,AACCCDPT,1.756836,262.069873264,59754,21607,59325,20942
/proj/sot/ska/data/aca_dark_cal/2002237,2002:237,2002.64794521,-10.372076416,AACCCDPT,0.987444,260.088340899,64023,23557,64023,23124
/proj/sot/ska/data/aca_dark_cal/2002338,2002:338,2002.92465753,-9.931,HDR3,0.971136,272.931954518,66850,22241,66850,21973
/proj/sot/ska/data/aca_dark_cal/2003116,2003:116,2003.31643836,-10.049,HDR3,2.374704,273.168585801,71418,23959,70448,22847
/proj/sot/ska/data/aca_dark_cal/2003195,2003:195,2003.53287671,-14.874,HDR3,1.054512,158.866343427,44179,23636,43724,23388
/proj/sot/ska/data/aca_dark_cal/2004002,2004:002,2004.00409836,-15.074,HDR3,1.118664,155.519089131,51388,29023,50829,28364
/proj/sot/ska/data/aca_dark_cal/2004084,2004:084,2004.22814208,-14.907,HDR3,2.82528,161.066292759,54534,29988,53445,28445
/proj/sot/ska/data/aca_dark_cal/2004171,2004:171,2004.46584699,-15.094,HDR3,1.219428,155.333053198,55605,31335,55030,30674
/proj/sot/ska/data/aca_dark_cal/2004253,2004:253,2004.68989071,-15.066,HDR3,1.057644,155.561636216,57613,32692,56989,32028
/proj/sot/ska/data/aca_dark_cal/2004359,2004:359,2004.9795082,-15.073,HDR3,2.084508,157.021759683,61944,35290,60715,33641
/proj/sot/ska/data/aca_dark_cal/2005070,2005:070,2005.19041095,-15.5985778809,AACCCDPT,2.096928,148.246741635,66981,41710,65606,40426
/proj/sot/ska/data/aca_dark_cal/2005191,2005:191,2005.52191779,-15.088,HDR3,4.6656,160.727312018,72427,41321,69371,38379
/proj/sot/ska/data/aca_dark_cal/2005247,2005:247,2005.67534244,-14.878,HDR3,1.559952,159.590928414,72060,39720,71274,38892
/proj/sot/ska/data/aca_dark_cal/2005316,2005:316,2005.86438353,-15.096,HDR3,1.671408,155.992457449,72420,41335,71684,40489
/proj/sot/ska/data/aca_dark_cal/2006064,2006:064,2006.1739726,-14.912,HDR3,1.542996,158.970536412,77247,43236,76465,42351
/proj/sot/ska/data/aca_dark_cal/2006220,2006:220,2006.60136986,-14.955,HDR3,0.948996,157.297221603,82171,46507,82171,45549
/proj/sot/ska/data/aca_dark_cal/2006329,2006:329,2006.9,-15.053,HDR3,1.951668,157.161699495,85404,48632,84503,47122
/proj/sot/ska/data/aca_dark_cal/2007006,2007:006,2007.01506849,-19.852,HDR3,1.36674,92.3260065412,38089,44809,37397,43982
/proj/sot/ska/data/aca_dark_cal/2007069,2007:069,2007.18767123,-19.115,HDR3,1.512756,100.240777897,47039,48628,46333,47039
/proj/sot/ska/data/aca_dark_cal/2007251,2007:251,2007.68630137,-19.067,HDR3,1.67832,100.934093214,51683,52497,50877,51683
/proj/sot/ska/data/aca_dark_cal/2007345,2007:345,2007.94383562,-19.099,HDR3,1.93104,100.830557772,55093,56875,54208,55093
/proj/sot/ska/data/aca_dark_cal/2008101,2008:101,2008.27459016,-19.111,HDR3,1.351188,100.125138401,56901,58708,55986,56901
/proj/sot/ska/data/aca_dark_cal/2008188,2008:188,2008.51229507,-19.094,HDR3,1.875852,100.831229614,60648,62468,59760,60648
/proj/sot/ska/data/aca_dark_cal/2008273,2008:273,2008.7445355,-18.915,HDR3,1.9332,102.887656982,61492,61492,60541,59602
/proj/sot/ska/data/aca_dark_cal/2009050,2009:050,2009.13561644,-18.963,HDR3,1.694196,102.10760082,65217,65217,64183,63194
/proj/sot/ska/data/aca_dark_cal/2009113,2009:113,2009.30821918,-18.964,HDR3,1.27656,101.677117863,65623,65623,64607,64607
/proj/sot/ska/data/aca_dark_cal/2009190,2009:190,2009.51917808,-18.906,HDR3,2.615652,103.678761194,70139,69102,68004,66979
/proj/sot/ska/data/aca_dark_cal/2009279,2009:279,2009.7630137,-18.895,HDR3,1.629504,102.806318193,72454,71333,71333,70234
/proj/sot/ska/data/aca_dark_cal/2010015,2010:015,2010.03972603,-18.898,HDR3,1.956096,103.102771671,81618,80414,80414,78038
/proj/sot/ska/data/aca_dark_cal/2010108,2010:108,2010.29452055,-18.899,HDR3,1.785132,102.918599555,77984,76810,76810,75654
/proj/sot/ska/data/aca_dark_cal/2010189,2010:189,2010.51643836,-18.887,HDR3,1.54008,102.805998052,80774,79549,79549,78356
/proj/sot/ska/data/aca_dark_cal/2010288,2010:288,2010.78767123,-18.902,HDR3,1.310796,102.405290592,81702,80464,80464,79323
/proj/sot/ska/data/aca_dark_cal/2010301,2010:301,2010.82328767,-18.785,HDR3,1.963008,104.395248954,84113,81684,82874,79292
/proj/sot/ska/data/aca_dark_cal/2011018,2011:018,2011.04794521,-18.32575,HDR3,1.456272,109.241094572,92889,84018,91581,81699
/proj/sot/ska/data/aca_dark_cal/2011079,2011:079,2011.21506849,-18.889,HDR3,1.776816,103.023090677,85278,83976,83976,81484
/proj/sot/ska/data/aca_dark_cal/2011211,2011:211,2011.57671233,-18.908,HDR3,1.822284,102.854615961,73545,72320,72320,71142
/proj/sot/ska/data/aca_dark_cal/2011234,2011:234,2011.63972603,-18.015,HDR3,1.580364,113.103600781,85821,72596,84558,70352
